Date,Startup,Industry Vertical,SubVertical,City,Investor,Type,Amount in cr
2017-06-12,Peesafe,Healthcare,Hygiene care product manufacturer,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private,8.3
2017-06-12,Vista Rooms,Consumer Internet,Online rooms aggregation platform,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed,6.4408
2017-06-13,Coverfox,Consumer Internet,Online insurance brokerage platform,Mumbai,Transamerica,Private,124.5
2017-06-13,Hypertrack,Technology,Location tracking solutions,New Delhi,"Nexus Venture Partners, Founders Fund",Private,0.0
2017-06-13,Goodera,Technology,CSR and sustainability management platform,Bengalore,"Nexus Venture Partners, Omidyar Network",Private,45.65
2017-06-14,Digit,Technology,Tech driven Insurance platform,Bengalore,Fairfax Holdings,Private,0.0
2017-06-14,Ola,Consumer Internet,Cab Aggregation App,Bengalore,Tekne Capital Management LLC,Private,415.0
2017-06-14,Vanitycask,Consumer Internet,Beauty products discovery platform,Mumbai,RB Investments,Seed,0.0
2017-06-15,Mrneeds,Consumer Internet,Micro Food Delivery platform,Noida,undisclosed investors,Seed,4.15
2017-06-16,Moneytap,Consumer Internet,Money Lending platform,Bengalore,"Sequoia India, NEA, Prime Venture Partners",Private,102.09
